ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-21,901.3939296061471,640.6464121376151,1127.0813113543597,901.3939296061471,901.3939296061471,-26.976390725436847,-26.976390725436847,-26.976390725436847,-26.348946947679153,-26.348946947679153,-26.348946947679153,-0.627443777757699,-0.627443777757699,-0.627443777757699,0.0,0.0,0.0,874.4175388807103
2020-02-22,901.3834184219539,656.0202981473551,1147.267722473452,901.3834184219539,901.3834184219539,0.3868846156996017,0.3868846156996017,0.3868846156996017,5.516960428038783,5.516960428038783,5.516960428038783,-5.130075812339181,-5.130075812339181,-5.130075812339181,0.0,0.0,0.0,901.7703030376535
2020-02-23,901.3729072377607,653.5134262439124,1159.5637854221936,901.3729072377607,901.3729072377607,-0.7693807281277358,-0.7693807281277358,-0.7693807281277358,9.757778783457713,9.757778783457713,9.757778783457713,-10.527159511585449,-10.527159511585449,-10.527159511585449,0.0,0.0,0.0,900.603526509633
2020-02-24,901.3623960535675,647.0759957155694,1159.9568743269938,901.3623960535675,901.3623960535675,-1.3353079901138063,-1.3353079901138063,-1.3353079901138063,15.325618498874793,15.325618498874793,15.325618498874793,-16.6609264889886,-16.6609264889886,-16.6609264889886,0.0,0.0,0.0,900.0270880634537
2020-02-25,901.3518848693743,613.4484602075631,1114.6591293568576,901.3518848693743,901.3518848693743,-40.95885012078257,-40.95885012078257,-40.95885012078257,-17.59299713379291,-17.59299713379291,-17.59299713379291,-23.365852986989665,-23.365852986989665,-23.365852986989665,0.0,0.0,0.0,860.3930347485917
2020-02-26,901.3413736851812,642.7838955194982,1144.0381368781887,901.3413736851812,901.3413736851812,-12.284243619922579,-12.284243619922579,-12.284243619922579,18.18776837106267,18.18776837106267,18.18776837106267,-30.472011990985244,-30.472011990985244,-30.472011990985244,0.0,0.0,0.0,889.0571300652587
2020-02-27,901.3308624874782,617.7733844716186,1109.6358242245847,901.3308624874782,901.3308624874782,-42.65458953997753,-42.65458953997753,-42.65458953997753,-4.846181999838124,-4.846181999838124,-4.846181999838124,-37.8084075401394,-37.8084075401394,-37.8084075401394,0.0,0.0,0.0,858.6762729475006
2020-03-01,901.2993288943695,590.3278730304099,1104.3345812253376,901.2993288943695,901.2993288943695,-49.782106346870634,-49.782106346870634,-49.782106346870634,9.757778783405554,9.757778783405554,9.757778783405554,-59.53988513027618,-59.53988513027618,-59.53988513027618,0.0,0.0,0.0,851.5172225474989
2020-03-02,901.2888176966666,598.7592867657359,1096.338143308105,901.2888176966666,901.2888176966666,-50.8498563074158,-50.8498563074158,-50.8498563074158,15.32561849885843,15.32561849885843,15.32561849885843,-66.17547480627422,-66.17547480627422,-66.17547480627422,0.0,0.0,0.0,850.4389613892507
2020-03-03,901.2783064989637,569.2982722672798,1076.8046880697996,901.2783064989637,901.2783064989637,-89.86973846733899,-89.86973846733899,-89.86973846733899,-17.592997133776223,-17.592997133776223,-17.592997133776223,-72.27674133356275,-72.27674133356275,-72.27674133356275,0.0,0.0,0.0,811.4085680316248
2020-03-04,901.2677953012608,596.9988045395789,1093.8834117399,901.2677953012608,901.2677953012608,-59.53879844952668,-59.53879844952668,-59.53879844952668,18.187768371016695,18.187768371016695,18.187768371016695,-77.72656682054338,-77.72656682054338,-77.72656682054338,0.0,0.0,0.0,841.7289968517341
2020-03-05,901.2572841035579,579.2797120984914,1054.8286210095732,901.2572841035579,901.2572841035579,-87.2702627557406,-87.2702627557406,-87.2702627557406,-4.8461819998391675,-4.8461819998391675,-4.8461819998391675,-82.42408075590143,-82.42408075590143,-82.42408075590143,0.0,0.0,0.0,813.9870213478173
2020-03-06,901.246772905855,535.9087916358915,1056.668364002265,901.246772905855,901.246772905855,-112.63466586914777,-112.63466586914777,-112.63466586914777,-26.348946947633948,-26.348946947633948,-26.348946947633948,-86.28571892151382,-86.28571892151382,-86.28571892151382,0.0,0.0,0.0,788.6121070367072
2020-03-07,901.236261708152,581.522521856825,1060.557301506405,901.236261708152,901.236261708152,-83.728902426026,-83.728902426026,-83.728902426026,5.5169604280524664,5.5169604280524664,5.5169604280524664,-89.24586285407845,-89.24586285407845,-89.24586285407845,0.0,0.0,0.0,817.507359282126
2020-03-08,901.2257505104491,583.5404796144068,1071.7462468340211,901.2257505104491,901.2257505104491,-81.49928515035256,-81.49928515035256,-81.49928515035256,9.757778783437775,9.757778783437775,9.757778783437775,-91.25706393379032,-91.25706393379032,-91.25706393379032,0.0,0.0,0.0,819.7264653600965
2020-03-09,901.2152393127461,559.1368301790419,1066.4403645851842,901.2152393127461,901.2152393127461,-76.96424755770363,-76.96424755770363,-76.96424755770363,15.325618498940202,15.325618498940202,15.325618498940202,-92.28986605664383,-92.28986605664383,-92.28986605664383,0.0,0.0,0.0,824.2509917550425
2020-03-10,901.2047281150433,545.9445330787541,1028.447138722701,901.2047281150433,901.2047281150433,-109.9252471214417,-109.9252471214417,-109.9252471214417,-17.592997133759535,-17.592997133759535,-17.592997133759535,-92.33224998768216,-92.33224998768216,-92.33224998768216,0.0,0.0,0.0,791.2794809936016
2020-03-11,901.1942169173403,585.1980064445189,1077.637816022063,901.1942169173403,901.1942169173403,-73.20096231284096,-73.20096231284096,-73.20096231284096,18.18776837107788,18.18776837107788,18.18776837107788,-91.38873068391884,-91.38873068391884,-91.38873068391884,0.0,0.0,0.0,827.9932546044994
2020-03-12,901.1837057196375,554.3020298482397,1042.2049545599423,901.1837057196375,901.1837057196375,-94.32532794301646,-94.32532794301646,-94.32532794301646,-4.846181999929226,-4.846181999929226,-4.846181999929226,-89.47914594308723,-89.47914594308723,-89.47914594308723,0.0,0.0,0.0,806.8583777766211
2020-03-13,901.1731945219345,533.0112504206213,1042.4345742130329,901.1731945219345,901.1731945219345,-112.98612748235797,-112.98612748235797,-112.98612748235797,-26.348946947745993,-26.348946947745993,-26.348946947745993,-86.63718053461197,-86.63718053461197,-86.63718053461197,0.0,0.0,0.0,788.1870670395765
2020-03-14,901.1626833242317,555.418659040981,1058.831188809801,901.1626833242317,901.1626833242317,-77.39171397488109,-77.39171397488109,-77.39171397488109,5.516960428095677,5.516960428095677,5.516960428095677,-82.90867440297676,-82.90867440297676,-82.90867440297676,0.0,0.0,0.0,823.7709693493506
2020-03-15,901.1521721265287,590.6976988212099,1070.6254519109366,901.1521721265287,901.1521721265287,-68.59198775244126,-68.59198775244126,-68.59198775244126,9.757778783387401,9.757778783387401,9.757778783387401,-78.34976653582865,-78.34976653582865,-78.34976653582865,0.0,0.0,0.0,832.5601843740875
2020-03-16,901.1416609288258,594.5671361470859,1104.6012705909714,901.1416609288258,901.1416609288258,-57.699309143365625,-57.699309143365625,-57.699309143365625,15.325618498922152,15.325618498922152,15.325618498922152,-73.02492764228778,-73.02492764228778,-73.02492764228778,0.0,0.0,0.0,843.4423517854601
2020-03-17,901.1311497311228,558.8426824586127,1066.6998200458986,901.1311497311228,901.1311497311228,-84.59793203866859,-84.59793203866859,-84.59793203866859,-17.59299713378112,-17.59299713378112,-17.59299713378112,-67.00493490488746,-67.00493490488746,-67.00493490488746,0.0,0.0,0.0,816.5332176924543
2020-03-18,901.12063853342,608.465099485069,1112.6736655613954,901.12063853342,901.12063853342,-42.177072441745075,-42.177072441745075,-42.177072441745075,18.187768370997798,18.187768370997798,18.187768370997798,-60.36484081274288,-60.36484081274288,-60.36484081274288,0.0,0.0,0.0,858.9435660916749
2020-03-19,901.110127335717,595.9601801354602,1089.7301365351086,901.110127335717,901.110127335717,-58.02816754131756,-58.02816754131756,-58.02816754131756,-4.846182000019285,-4.846182000019285,-4.846182000019285,-53.181985541298275,-53.181985541298275,-53.181985541298275,0.0,0.0,0.0,843.0819597943995
